Symbol,Symbol,Min Qty Allowed,Max Qty Allowed,Min Qty StepSize,Min Price Allowed,Max Price Allowed,Min Price StepSize,Min Notional Allowed
83,CHRUSDT,1,900000,1,0.0031,100000,0.0001,5
84,MANAUSDT,1,400000,1,0.0001,100000,0.0001,5
85,ALICEUSDT,0.1,200000,0.1,0.001,100000,0.001,5
86,HBARUSDT,1,3000000,1,0.00279,20000,0.00001,5
87,ONEUSDT,1,20000000,1,0.00001,20000,0.00001,5
88,LINAUSDT,0.1,25000000,0.1,0.000001,1000,0.000001,5
89,STMXUSDT,1,5000000,1,0.00048,20000,0.00001,5
90,DENTUSDT,1,130000000,1,0.000001,2000,0.000001,5
91,CELRUSDT,1,11000000,1,0.00001,20000,0.00001,5
92,HOTUSDT,1,200000000,1,0.000001,2000,0.000001,5
93,MTLUSDT,1,110000,1,0.0001,100000,0.0001,5
94,OGNUSDT,1,1100000,1,0.0001,100000,0.0001,5
95,NKNUSDT,1,3000000,1,0.00001,20000,0.00001,5
96,SCUSDT,1,5000000,1,0.000368,2000,0.000001,5
97,DGBUSDT,1,7200000,1,0.00131,20000,0.00001,5
98,1000SHIBUSDT,1,50000000,1,0.000157,2000,0.000001,5
99,BAKEUSDT,1,550000,1,0.0001,100000,0.0001,5
100,GTCUSDT,0.1,300000,0.1,0.001,100000,0.001,5
101,BTCDOMUSDT,0.001,100,0.001,10,100000,0.1,5
102,IOTXUSDT,1,7000000,1,0.0005,20000,0.00001,5
103,RAYUSDT,0.1,100,0.1,0.01,100000,0.001,5
104,C98USDT,1,2000000,1,0.001,100000,0.0001,5
105,MASKUSDT,1,100000,1,0.004,100000,0.0001,5
106,ATAUSDT,1,2000000,1,0.0001,100000,0.0001,5
107,DYDXUSDT,0.1,300000,0.1,0.01,100000,0.001,5
108,1000XECUSDT,1,6000000,1,0.0005,20000,0.00001,5
109,GALAUSDT,1,8000000,1,0.0005,20000,0.00001,5
110,CELOUSDT,0.1,500000,0.1,0.01,100000,0.001,5
111,ARUSDT,0.1,20000,0.1,0.01,100000,0.001,5
112,KLAYUSDT,0.1,700000,0.1,0.001,100000,0.0001,5
113,ARPAUSDT,1,3000000,1,0.0005,20000,0.00001,5
114,CTSIUSDT,1,1100000,1,0.001,100000,0.0001,5
115,LPTUSDT,0.1,35000,0.1,0.01,100000,0.001,5
116,ENSUSDT,0.1,10000,0.1,0.01,100000,0.001,5
117,PEOPLEUSDT,1,10000000,1,0.0001,2000,0.00001,5
118,ROSEUSDT,1,5000000,1,0.0001,10000,0.00001,5
119,DUSKUSDT,1,1200000,1,0.0001,10000,0.00001,5
120,FLOWUSDT,0.1,300000,0.1,0.01,100000,0.001,5
121,IMXUSDT,1,500000,1,0.001,100000,0.0001,5
122,API3USDT,0.1,200000,0.1,0.001,10000,0.0001,5
123,GMTUSDT,1,2000000,1,0.0001,10000,0.00001,5
124,APEUSDT,1,200000,1,0.001,100000,0.0001,5
125,WOOUSDT,1,1300000,1,0.0001,10000,0.00001,5
126,FTTUSDT,0.1,1000,0.1,0.001,100000,0.0001,5
127,JASMYUSDT,1,8000000,1,0.00001,100,0.000001,5
128,DARUSDT,0.1,620000,0.1,0.001,100000,0.0001,5
129,OPUSDT,0.1,400000,0.1,0.0001,200,0.0001,5
130,INJUSDT,0.1,25000,0.1,0.001,2000,0.001,5
131,STGUSDT,1,500000,1,0.0001,200,0.0001,5
132,SPELLUSDT,1,200000000,1,0.000001,100,0.0000001,5
133,1000LUNCUSDT,1,2000000,1,0.0001,200,0.00001,5
134,LUNA2USDT,1,600000,1,0.0001,200,0.0001,5
135,LDOUSDT,1,200000,1,0.001,2000,0.0001,5
136,ICPUSDT,1,100000,1,0.001,2000,0.001,5
137,APTUSDT,0.1,100000,0.1,0.001,20000,0.0001,5
138,QNTUSDT,0.1,3000,0.1,0.01,2000,0.01,5
139,FETUSDT,1,400000,1,0.0001,200,0.0001,5
140,FXSUSDT,0.1,60000,0.1,0.001,2000,0.0001,5
141,HOOKUSDT,0.1,800000,0.1,0.001,2000,0.00001,5
142,MAGICUSDT,0.1,1500000,0.1,0.0001,2000,0.0001,5
143,TUSDT,1,10000000,1,0.00001,200,0.00001,5
144,HIGHUSDT,0.1,200000,0.1,0.001,2000,0.0001,5
145,MINAUSDT,1,800000,1,0.0001,200,0.0001,5
146,ASTRUSDT,1,5000000,1,0.00001,200,0.000001,5
147,AGIXUSDT,1,50000,1,0.0001,200,0.0001,5
148,PHBUSDT,1,150000,1,0.0001,200,0.0001,5
149,GMXUSDT,0.01,8000,0.01,0.01,2000,0.001,5
150,CFXUSDT,1,750000,1,0.0001,200,0.00001,5
151,STXUSDT,1,400000,1,0.0001,200,0.0001,5
152,BNXUSDT,0.1,50000,0.1,0.001,2000,0.0001,5
153,ACHUSDT,1,7000000,1,0.00001,200,0.000001,5
154,SSVUSDT,0.01,11000,0.01,0.01,2000,0.001,5
155,CKBUSDT,1,30000000,1,0.000001,100,0.000001,5
156,PERPUSDT,0.1,250000,0.1,0.0001,2000,0.0001,5
157,TRUUSDT,1,3000000,1,0.00001,200,0.00001,5
158,LQTYUSDT,0.1,110000,0.1,0.0001,2000,0.0001,5
159,USDCUSDT,1,100000,1,0.00001,200,0.000001,5
160,IDUSDT,1,800000,1,0.0001,200,0.00001,5
161,ARBUSDT,0.1,1000000,0.1,0.0001,2000,0.0001,5
162,JOEUSDT,1,500000,1,0.0001,200,0.00001,5
163,TLMUSDT,1,20000000,1,0.00001,100,0.000001,5
164,AMBUSDT,1,2000000,1,0.00001,100,0.000001,5
165,LEVERUSDT,1,180000000,1,0.000001,100,0.0000001,5
166,RDNTUSDT,1,3000000,1,0.0001,200,0.00001,5
167,HFTUSDT,1,1100000,1,0.0001,200,0.00001,5
168,XVSUSDT,0.1,11000,0.1,0.001,2000,0.001,5
169,ETHBTC,0.01,25,0.01,0.00001,200,0.000001,0.001
170,BLURUSDT,1,2000000,1,0.0001,200,0.00001,5
171,EDUUSDT,1,500000,1,0.0001,200,0.0001,5
172,IDEXUSDT,1,800000,1,0.00001,200,0.00001,5
173,SUIUSDT,0.1,600000,0.1,0.0001,2000,0.0001,5
174,1000PEPEUSDT,1,100000000,1,0.0000001,200,0.0000001,5
175,1000FLOKIUSDT,1,2000000,1,0.00001,200,0.00001,5
176,UMAUSDT,1,80000,1,0.001,2000,0.001,5
177,RADUSDT,1,30000,1,0.001,2000,0.0001,5
178,KEYUSDT,1,11000000,1,0.000001,200,0.0000001,5
179,COMBOUSDT,0.1,82000,0.1,0.0001,2000,0.0001,5
180,NMRUSDT,0.1,10000,0.1,0.01,2000,0.001,5
181,MAVUSDT,1,2000000,1,0.0001,200,0.00001,5
182,MDTUSDT,1,1300000,1,0.00001,200,0.00001,5
183,XVGUSDT,1,20000000,1,0.000001,200,0.000001,5
184,WLDUSDT,1,300000,1,0.0001,200,0.0001,5
185,PENDLEUSDT,1,100000,1,0.0001,200,0.0001,5
186,ARKMUSDT,1,200000,1,0.0001,200,0.0001,5
187,AGLDUSDT,1,140000,1,0.0001,200,0.0001,5
188,YGGUSDT,1,500000,1,0.0001,200,0.0001,5
189,DODOXUSDT,1,2000000,1,0.0001,200,0.000001,5
190,BNTUSDT,1,150000,1,0.0001,200,0.0001,5
191,OXTUSDT,1,1400000,1,0.00001,200,0.00001,5
192,SEIUSDT,1,2000000,1,0.0001,200,0.0001,5
193,CYBERUSDT,0.1,90000,0.1,0.001,2000,0.001,5
194,HIFIUSDT,1,500000,1,0.0001,200,0.00001,5
195,ARKUSDT,1,200000,1,0.0001,200,0.0001,5
196,GLMRUSDT,1,200000,1,0.0001,200,0.00001,5
197,BICOUSDT,1,900000,1,0.0001,200,0.00001,5
198,STRAXUSDT,1,1000000,1,0.0001,200,0.0001,5
199,LOOMUSDT,1,800000,1,0.0001,200,0.00001,5
200,BIGTIMEUSDT,1,2000000,1,0.0001,200,0.00001,5
201,BONDUSDT,0.1,18000,0.1,0.001,2000,0.001,5
202,ORBSUSDT,1,1500000,1,0.00001,200,0.000001,5
203,STPTUSDT,1,1100000,1,0.00001,200,0.00001,5
204,WAXPUSDT,1,4000000,1,0.00001,200,0.00001,5
205,BSVUSDT,0.1,4000,0.1,0.01,20000,0.01,5
206,RIFUSDT,1,1200000,1,0.00001,200,0.00001,5
207,POLYXUSDT,1,700000,1,0.0001,200,0.00001,5
208,GASUSDT,0.1,40000,0.1,0.001,2000,0.001,5
209,POWRUSDT,1,500000,1,0.0001,200,0.0001,5
210,TIAUSDT,1,200000,1,0.0001,200,0.0001,5
211,SNTUSDT,1,1700000,1,0.00001,200,0.00001,5
212,CAKEUSDT,1,80000,1,0.0001,200,0.0001,5
213,MEMEUSDT,1,50000000,1,0.000001,200,0.000001,5
214,TWTUSDT,1,75000,1,0.0001,200,0.0001,5
215,TOKENUSDT,1,5000000,1,0.00001,200,0.00001,5
216,ORDIUSDT,0.1,20000,0.1,0.001,2000,0.001,5
217,STEEMUSDT,1,600000,1,0.0001,200,0.00001,5
218,BADGERUSDT,1,100000,1,0.001,200,0.0001,5
219,ILVUSDT,0.1,5000,0.1,0.01,2000,0.001,5
220,NTRNUSDT,1,1100000,1,0.0001,200,0.00001,5
221,KASUSDT,1,4000000,1,0.00001,200,0.00001,5
222,BEAMXUSDT,1,20000000,1,0.000001,200,0.000001,5
223,1000BONKUSDT,1,20000000,1,0.000001,200,0.000001,5
224,PYTHUSDT,1,800000,1,0.0001,200,0.00001,5
225,SUPERUSDT,1,200000,1,0.0001,200,0.0001,5
226,USTCUSDT,1,7000000,1,0.00001,200,0.000001,5
227,ONGUSDT,1,500000,1,0.0001,200,0.00001,5
228,ETHWUSDT,1,90000,1,0.001,2000,0.0001,5
229,JTOUSDT,1,80000,1,0.0001,200,0.0001,5
230,1000SATSUSDT,1,4000000000,1,0.000001,200,0.0000001,5
231,AUCTIONUSDT,0.01,10000,0.01,0.01,2000,0.001,5
232,1000RATSUSDT,1,3000000,1,0.00001,200,0.00001,5
233,ACEUSDT,0.01,200000,0.01,0.0001,2000,0.0001,5
234,MOVRUSDT,0.01,20000,0.01,0.001,5000,0.001,5
235,NFPUSDT,0.1,1500000,0.1,0.0001,1000,0.00001,5
236,BTCUSDC,0.001,30,0.001,0.1,500000,0.1,100
237,ETHUSDC,0.001,400,0.001,0.01,100000,0.01,20
238,BNBUSDC,0.01,1400,0.01,0.01,100000,0.01,5
239,SOLUSDC,0.01,6000,0.01,0.1,100000,0.01,5
240,XRPUSDC,0.1,500000,0.1,0.0001,100000,0.0001,5
241,AIUSDT,1,700000,1,0.00001,200,0.00001,5
242,XAIUSDT,1,4000000,1,0.0001,200,0.00001,5
243,DOGEUSDC,1,5000000,1,0.00001,200,0.00001,5
244,WIFUSDT,0.1,200000,0.1,0.0001,1000,0.0001,5
245,MANTAUSDT,0.1,600000,0.1,0.0001,1000,0.0001,5
246,ONDOUSDT,0.1,350000,0.1,0.0001,200,0.0001,5
247,LSKUSDT,1,300000,1,0.001,2000,0.0001,5
248,ALTUSDT,1,4000000,1,0.00001,200,0.00001,5
249,JUPUSDT,1,1000000,1,0.0001,200,0.0001,5
250,ZETAUSDT,1,700000,1,0.0001,200,0.0001,5
251,RONINUSDT,0.1,300000,0.1,0.001,200,0.0001,5
252,DYMUSDT,0.1,700000,0.1,0.001,2000,0.0001,5
253,SUIUSDC,0.1,300000,0.1,0.0001,20000,0.0001,5
254,OMUSDT,0.1,800000,0.1,0.00001,200,0.00001,5
255,LINKUSDC,0.01,30000,0.01,0.001,2000,0.001,5
256,PIXELUSDT,1,4000000,1,0.0001,200,0.00001,5
257,STRKUSDT,0.1,800000,0.1,0.0001,2000,0.0001,5
258,ORDIUSDC,0.1,20000,0.1,0.001,2000,0.001,5
259,GLMUSDT,1,500000,1,0.0001,200,0.00001,5
260,PORTALUSDT,0.1,2000000,0.1,0.0001,2000,0.00001,5
261,TONUSDT,0.1,100000,0.1,0.0001,200,0.0001,5
262,AXLUSDT,0.1,500000,0.1,0.0001,2000,0.0001,5
263,MYROUSDT,1,5000000,1,0.00001,200,0.00001,5
264,1000PEPEUSDC,1,40000000,1,0.0000001,200,0.0000001,5
265,METISUSDT,0.01,6000,0.01,0.01,2000,0.01,5
266,AEVOUSDT,0.1,1000000,0.1,0.00001,2000,0.00001,5
267,WLDUSDC,0.1,300000,0.1,0.0001,200,0.0001,5
268,VANRYUSDT,1,4000000,1,0.00001,200,0.00001,5
269,BOMEUSDT,1,50000000,1,0.000001,200,0.000001,5
270,ETHFIUSDT,0.1,100000,0.1,0.001,2000,0.0001,5
271,AVAXUSDC,0.01,30000,0.01,0.001,2000,0.001,5
272,1000SHIBUSDC,1,22000000,1,0.000001,2000,0.000001,5
273,ENAUSDT,1,1000000,1,0.001,200,0.0001,5
274,WUSDT,0.1,2000000,0.1,0.001,2000,0.00001,5
275,WIFUSDC,0.1,200000,0.1,0.0001,1000,0.0001,5
276,BCHUSDC,0.001,2000,0.001,0.01,100000,0.01,5
277,TNSRUSDT,0.1,900000,0.1,0.001,2000,0.0001,5
278,SAGAUSDT,0.1,800000,0.1,0.0001,2000,0.0001,5
279,LTCUSDC,0.001,3000,0.001,0.01,100000,0.01,5
280,NEARUSDC,1,110000,1,0.001,2000,0.001,5
281,TAOUSDT,0.001,1000,0.001,0.01,100000,0.01,5
282,OMNIUSDT,0.01,50000,0.01,0.01,100000,0.001,5
283,ARBUSDC,0.1,700000,0.1,0.0001,20000,0.0001,5
284,NEOUSDC,0.001,20000,0.001,0.001,100000,0.001,5
285,FILUSDC,0.1,200000,0.1,0.001,100000,0.001,5
286,TIAUSDC,1,200000,1,0.0001,200,0.0001,5
287,BOMEUSDC,1,50000000,1,0.000001,200,0.000001,5
288,REZUSDT,1,10000000,1,0.0001,200,0.00001,5
289,ENAUSDC,1,1000000,1,0.0001,200,0.0001,5
290,ETHFIUSDC,0.1,100000,0.1,0.0001,2000,0.0001,5
291,1000BONKUSDC,1,20000000,1,0.000001,200,0.000001,5
292,BBUSDT,1,700000,1,0.0001,200,0.00001,5
293,NOTUSDT,1,70000000,1,0.000001,200,0.000001,5
294,TURBOUSDT,1,50000000,1,0.000001,200,0.0000001,5
295,IOUSDT,0.1,200000,0.1,0.001,2000,0.0001,5
296,ZKUSDT,1,3000000,1,0.0001,200,0.00001,5
297,MEWUSDT,1,150000000,1,0.000001,200,0.000001,5
298,LISTAUSDT,1,500000,1,0.0001,200,0.0001,5
299,ZROUSDT,0.1,60000,0.1,0.001,2000,0.0001,5
300,CRVUSDC,0.1,300000,0.1,0.0001,200,0.0001,5
301,RENDERUSDT,0.1,100000,0.1,0.001,2000,0.001,5
302,BANANAUSDT,0.1,5000,0.1,0.001,2000,0.001,5
303,RAREUSDT,1,2000000,1,0.0001,200,0.00001,5
304,GUSDT,1,8000000,1,0.00001,200,0.00001,5
305,SYNUSDT,1,700000,1,0.0001,200,0.0001,5
306,SYSUSDT,1,3000000,1,0.0001,200,0.00001,5
307,VOXELUSDT,1,2000000,1,0.0001,200,0.00001,5
308,BRETTUSDT,1,3000000,1,0.00001,200,0.00001,5
309,ALPACAUSDT,1,2000000,1,0.00001,200,0.00001,5
310,POPCATUSDT,1,600000,1,0.0001,200,0.0001,5
311,SUNUSDT,1,5000000,1,0.000001,200,0.000001,5
312,VIDTUSDT,1,5000000,1,0.00001,200,0.00001,5
313,NULSUSDT,1,300000,1,0.0001,200,0.0001,5
314,DOGSUSDT,1,900000000,1,0.0000001,200,0.0000001,5
315,MBOXUSDT,1,1200000,1,0.0001,200,0.00001,5
316,CHESSUSDT,1,1100000,1,0.0001,200,0.00001,5
317,FLUXUSDT,1,500000,1,0.0001,200,0.0001,5
318,BSWUSDT,1,3000000,1,0.00001,200,0.00001,5
319,QUICKUSDT,1,3000000,1,0.00001,200,0.00001,5
320,NEIROETHUSDT,1,1000000,1,0.0001,200,0.00001,5
321,RPLUSDT,0.1,15000,0.1,0.01,2000,0.001,5
322,POLUSDT,1,1300000,1,0.0001,200,0.00001,5
323,UXLINKUSDT,1,150000,1,0.0001,200,0.0001,5
324,1MBABYDOGEUSDT,1,100000000,1,0.0000001,200,0.0000001,5
325,NEIROUSDT,1,300000000,1,0.0000001,200,0.0000001,5
326,KDAUSDT,1,900000,1,0.0001,200,0.0001,5
327,FIDAUSDT,1,1000000,1,0.0001,200,0.00001,5
328,FIOUSDT,1,5000000,1,0.00001,200,0.00001,5
329,CATIUSDT,1,800000,1,0.0001,200,0.00001,5
330,GHSTUSDT,1,200000,1,0.001,200,0.0001,5
331,LOKAUSDT,1,1000000,1,0.0001,200,0.00001,5
332,HMSTRUSDT,1,130000000,1,0.000001,200,0.0000001,5
333,REIUSDT,1,5000000,1,0.00001,200,0.00001,5
334,COSUSDT,1,30000000,1,0.000001,200,0.000001,5
335,EIGENUSDT,0.1,100000,0.1,0.001,2000,0.0001,5
336,DIAUSDT,1,200000,1,0.0001,200,0.0001,5
337,1000CATUSDT,1,10000000,1,0.00001,200,0.000001,5
338,SCRUSDT,1,400000,1,0.001,200,0.0001,5
339,GOATUSDT,1,3000000,1,0.0001,200,0.00001,5
340,MOODENGUSDT,1,800000,1,0.00001,200,0.00001,5
341,SAFEUSDT,1,300000,1,0.0001,200,0.0001,5
342,SANTOSUSDT,0.1,40000,0.1,0.001,2000,0.001,5
343,TROYUSDT,1,70000000,1,0.000001,200,0.000001,5
344,PONKEUSDT,1,900000,1,0.00001,200,0.00001,5
345,COWUSDT,1,400000,1,0.0001,200,0.0001,5
346,CETUSUSDT,1,1200000,1,0.00001,200,0.00001,5
347,1000000MOGUSDT,0.1,200000,0.1,0.0001,2000,0.0001,5
348,GRASSUSDT,0.1,200000,0.1,0.0001,2000,0.0001,5
349,DRIFTUSDT,1,200000,1,0.0001,200,0.0001,5
350,SWELLUSDT,1,9000000,1,0.00001,200,0.000001,5
351,ACTUSDT,1,4000000,1,0.00001,200,0.00001,5
352,PNUTUSDT,1,600000,1,0.00001,200,0.00001,5
353,HIPPOUSDT,1,70000000,1,0.00001,200,0.000001,5
354,1000XUSDT,1,2000000,1,0.00001,200,0.00001,5
355,DEGENUSDT,1,30000000,1,0.000001,200,0.000001,5
356,BANUSDT,1,1200000,1,0.0001,200,0.00001,5
357,AKTUSDT,0.1,200000,0.1,0.001,2000,0.001,5
358,SLERFUSDT,1,800000,1,0.0001,200,0.00001,5
359,SCRTUSDT,1,400000,1,0.0001,200,0.0001,5
360,1000CHEEMSUSDT,1,100000000,1,0.000001,200,0.0000001,5
361,1000WHYUSDT,1,3000000000,1,0.000001,200,0.0000001,5
362,THEUSDT,0.1,200000,0.1,0.0001,200,0.0001,5
363,MORPHOUSDT,0.1,50000,0.1,0.0001,200,0.0001,5
364,CHILLGUYUSDT,1,3000000,1,0.0001,200,0.00001,5
365,KAIAUSDT,1,800000,1,0.0001,200,0.0001,5
366,AEROUSDT,0.1,200000,0.1,0.0001,200,0.0001,5
367,ACXUSDT,0.1,700000,0.1,0.0001,200,0.0001,5
368,ORCAUSDT,0.1,60000,0.1,0.001,2000,0.001,5
369,MOVEUSDT,1,2000000,1,0.0001,200,0.0001,5
370,RAYSOLUSDT,0.1,50000,0.1,0.0001,2000,0.0001,5
371,KOMAUSDT,1,4000000,1,0.00001,200,0.00001,5
372,VIRTUALUSDT,0.1,200000,0.1,0.0001,2000,0.0001,5
373,SPXUSDT,1,200000,1,0.0001,200,0.0001,5
374,MEUSDT,0.1,200000,0.1,0.001,2000,0.0001,5
375,AVAUSDT,0.1,200000,0.1,0.0001,2000,0.0001,5
376,DEGOUSDT,0.1,80000,0.1,0.0001,2000,0.0001,5
377,VELODROMEUSDT,1,2000000,1,0.00001,200,0.00001,5
378,MOCAUSDT,1,2000000,1,0.0001,200,0.00001,5
379,VANAUSDT,0.01,20000,0.01,0.001,20000,0.001,5
380,PENGUUSDT,1,10000000,1,0.000001,200,0.000001,5
381,LUMIAUSDT,0.1,400000,0.1,0.001,2000,0.0001,5
382,USUALUSDT,1,3000000,1,0.0001,200,0.00001,5
383,AIXBTUSDT,1,1000000,1,0.00001,200,0.00001,5
384,FARTCOINUSDT,0.1,250000,0.1,0.0001,2000,0.0001,5
385,KMNOUSDT,1,2000000,1,0.00001,200,0.00001,5
386,CGPTUSDT,1,1000000,1,0.00001,200,0.00001,5
387,HIVEUSDT,1,400000,1,0.00001,200,0.00001,5
388,DEXEUSDT,0.01,20000,0.01,0.001,20000,0.001,5
389,PHAUSDT,1,900000,1,0.00001,200,0.00001,5
390,DFUSDT,1,5000000,1,0.00001,200,0.00001,5
391,GRIFFAINUSDT,1,3000000,1,0.00001,200,0.00001,5
392,AI16ZUSDT,0.1,1000000,0.1,0.0001,2000,0.0001,5
393,ZEREBROUSDT,1,3000000,1,0.0001,200,0.00001,5
394,BIOUSDT,1,1000000,1,0.0001,200,0.00001,5
395,COOKIEUSDT,1,700000,1,0.0001,200,0.0001,5
396,ALCHUSDT,1,1000000,1,0.00001,200,0.00001,5
397,SWARMSUSDT,1,5000000,1,0.0001,200,0.00001,5
398,SONICUSDT,0.1,500000,0.1,0.0001,2000,0.0001,5
399,DUSDT,1,3000000,1,0.00001,200,0.00001,5
400,PROMUSDT,0.1,15000,0.1,0.001,2000,0.001,5
401,SUSDT,1,500000,1,0.0001,200,0.0001,5
402,SOLVUSDT,1,5000000,1,0.0001,200,0.00001,5
403,ARCUSDT,1,7000000,1,0.00001,200,0.00001,5
404,AVAAIUSDT,1,7000000,1,0.00001,200,0.00001,5
405,TRUMPUSDT,0.01,50000,0.01,0.001,20000,0.001,5
406,MELANIAUSDT,0.01,1000000,0.01,0.001,20000,0.0001,5
407,VTHOUSDT,1,70000000,1,0.000001,200,0.000001,5
408,ANIMEUSDT,1,8000000,1,0.0001,200,0.00001,5
409,VINEUSDT,1,2000000,1,0.00001,200,0.00001,5
410,PIPPINUSDT,1,4000000,1,0.00001,200,0.00001,5
411,VVVUSDT,0.01,40000,0.01,0.001,20000,0.001,5
412,BERAUSDT,0.1,50000,0.1,0.001,2000,0.001,5
413,TSTUSDT,1,3000000,1,0.0001,200,0.00001,5
414,LAYERUSDT,0.1,200000,0.1,0.0001,200,0.0001,5
